time,step,wp_Tmin,wp_Tmax,wp_Tavg,wp_umax,wp_svm_max,wp_epspl_max,wp_contact_pmax,wp_contact_count
5.800000000000428e-06,116,3.000000000000000e+02,3.358151157730140e+02,3.001076448413933e+02,1.062344139039095e-05,1.210081928143960e+09,8.976374842984863e-02,1.733575947845479e+14,7
5.850000000000453e-06,117,3.000000000000000e+02,3.359664614182758e+02,3.001098685025303e+02,1.071354645083044e-05,1.210053097556415e+09,9.015931849839871e-02,1.734466232176581e+14,7
5.900000000000478e-06,118,3.000000000000000e+02,3.361205803050267e+02,3.001122230796360e+02,1.080171254850762e-05,1.211804888216242e+09,9.056331938638831e-02,1.738415425505986e+14,7
5.950000000000503e-06,119,3.000000000000000e+02,3.362824593004627e+02,3.001148391655238e+02,1.089099886954954e-05,1.213437712033294e+09,9.098443825650286e-02,1.747068348702428e+14,7
6.000000000000528e-06,120,3.000000000000000e+02,3.364497102668598e+02,3.001177691361360e+02,1.098250577066087e-05,1.214539772259537e+09,9.141358451137460e-02,1.755589465275224e+14,7
6.050000000000553e-06,121,3.000000000000000e+02,3.366283630057756e+02,3.001210229062019e+02,1.107701163387774e-05,1.216926734866952e+09,9.186464871434025e-02,1.765947663008876e+14,7
6.100000000000578e-06,122,3.000000000000000e+02,3.368161047602708e+02,3.001246089166588e+02,1.117426942498370e-05,1.218447473751435e+09,9.233196414673113e-02,1.774303245218813e+14,7
6.150000000000603e-06,123,3.000000000000000e+02,3.370150701330166e+02,3.001285274091907e+02,1.127253831688409e-05,1.220581801959497e+09,9.282277273384686e-02,1.782377872208386e+14,7
6.200000000000628e-06,124,3.000000000000000e+02,3.372232697274904e+02,3.001327372669136e+02,1.137091974741222e-05,1.222249597824944e+09,9.333389368604987e-02,1.789777276382690e+14,8
6.250000000000653e-06,125,3.000000000000000e+02,3.374393243554381e+02,3.001368266860283e+02,1.146845531975554e-05,1.223025479385379e+09,9.386554797204615e-02,1.780017605877412e+14,8
6.300000000000677e-06,126,3.000000000000000e+02,3.376360753547530e+02,3.001404806598153e+02,1.156322841432396e-05,1.220100516051059e+09,9.436053920143624e-02,1.769981306487125e+14,8
6.350000000000702e-06,127,3.000000000000000e+02,3.378093831372472e+02,3.001438050493757e+02,1.165565813669024e-05,1.216894917005894e+09,9.480588036062432e-02,1.760571701290274e+14,8
6.400000000000727e-06,128,3.000000000000000e+02,3.379587247340651e+02,3.001468063542805e+02,1.174571621184852e-05,1.213146852204642e+09,9.519809437301652e-02,1.752230726035699e+14,8
6.450000000000752e-06,129,2.999999999998516e+02,3.380874707680754e+02,3.001496083022925e+02,1.183448399221997e-05,1.209715264167982e+09,9.554386088602292e-02,1.744565216065884e+14,8
6.500000000000777e-06,130,2.999999999998516e+02,3.382035616771926e+02,3.001523292041247e+02,1.192127421391699e-05,1.208705059274670e+09,9.586223694676438e-02,1.741789645739036e+14,8
6.550000000000802e-06,131,2.999999999998516e+02,3.383158340603659e+02,3.001551673701328e+02,1.200805194851541e-05,1.208007423360750e+09,9.617184178725148e-02,1.747163309408417e+14,8
6.600000000000827e-06,132,2.999999999998516e+02,3.384262089568930e+02,3.001582898214953e+02,1.209531864855964e-05,1.208541331140686e+09,9.647576906909525e-02,1.760241837036662e+14,8
6.650000000000852e-06,133,2.999999999998516e+02,3.385428255038316e+02,3.001619025938565e+02,1.218464425811405e-05,1.210691547561011e+09,9.679191332611572e-02,1.773699997354774e+14,8
6.700000000000877e-06,134,2.999999999998450e+02,3.386681079497093e+02,3.001659880333426e+02,1.227577372998138e-05,1.212607918536268e+09,9.712558954128550e-02,1.781128507178211e+14,8
6.750000000000902e-06,135,2.999999999998450e+02,3.387999831756970e+02,3.001704515890683e+02,1.236899835408574e-05,1.213998677042866e+09,9.747129194914353e-02,1.791903053414092e+14,8
6.800000000000927e-06,136,2.999999999998450e+02,3.389379274864397e+02,3.001752375999762e+02,1.246403226847622e-05,1.215228120053205e+09,9.782787545145250e-02,1.801234806936002e+14,8
6.850000000000952e-06,137,2.999999999998450e+02,3.390800314412199e+02,3.001801185508811e+02,1.255962387018346e-05,1.216723846425297e+09,9.819254019780044e-02,1.799950905074855e+14,9
6.900000000000977e-06,138,2.999999999998450e+02,3.392181705222576e+02,3.001845526401382e+02,1.265187567944883e-05,1.214826011958631e+09,9.855561256482685e-02,1.790282184953407e+14,9
6.950000000001002e-06,139,2.999999999998450e+02,3.393426448736559e+02,3.001886030590174e+02,1.274102254892397e-05,1.212863245184698e+09,9.889206099356439e-02,1.782322686920631e+14,9
7.000000000001026e-06,140,2.999999999998450e+02,3.394505535481889e+02,3.001923402400693e+02,1.282780191620761e-05,1.208906122156728e+09,9.919186796121668e-02,1.776014036895412e+14,9
7.050000000001051e-06,141,2.999999999998450e+02,3.395364149413233e+02,3.001958240667247e+02,1.291362917329181e-05,1.205551727653687e+09,9.944199852392692e-02,1.770448403025627e+14,9
7.100000000001076e-06,142,2.999999999998450e+02,3.396093000053389e+02,3.001991961044180e+02,1.299826627239012e-05,1.203230050273063e+09,9.966480490087742e-02,1.768054619621311e+14,9
7.150000000001101e-06,143,2.999999999998450e+02,3.396755617478406e+02,3.002025620511916e+02,1.308118611948719e-05,1.201887134535004e+09,9.987313047064167e-02,1.767673142637790e+14,9
7.200000000001126e-06,144,2.999999999998450e+02,3.397394942325965e+02,3.002061244462655e+02,1.316516270442737e-05,1.201140284405324e+09,1.000745970316213e-01,1.770339842373077e+14,9
7.250000000001151e-06,145,2.999999999998450e+02,3.398035010079988e+02,3.002101377665647e+02,1.325116361380324e-05,1.201281921181597e+09,1.002731722232834e-01,1.774803839402096e+14,9
7.300000000001176e-06,146,2.999999999998477e+02,3.398694905041659e+02,3.002146315106414e+02,1.333802771299543e-05,1.202819932647578e+09,1.004748204027627e-01,1.780371846958399e+14,9
7.350000000001201e-06,147,2.999999999998477e+02,3.399402987534363e+02,3.002196391933887e+02,1.342773431197365e-05,1.204251502016054e+09,1.006859462566389e-01,1.782271913429808e+14,9
