time_s,max_T_C,min_T_C,max_abs_dTdt_C_per_min,conv_ramp
1812,729.035,27.0059,1874.14,3.70764e-05
1818,728.799,27.0064,1872.23,3.7086e-05
1824,728.564,27.0068,1870.31,3.70958e-05
1830,728.327,27.0073,1868.39,3.71055e-05
1836,728.09,27.0078,1866.46,3.71153e-05
1842,727.852,27.0082,1864.52,3.71251e-05
1848,727.613,27.0087,1862.57,3.7135e-05
1854,727.374,27.0092,1860.61,3.71449e-05
1860,727.134,27.0096,1858.65,3.71548e-05
1866,726.893,27.0101,1856.68,3.71648e-05
1872,726.652,27.0106,1854.7,3.71748e-05
1878,726.41,27.0111,1852.71,3.71849e-05
1884,726.167,27.0116,1850.71,3.7195e-05
1890,725.923,27.0121,1848.71,3.72051e-05
1896,725.679,27.0126,1846.7,3.72152e-05
1902,725.434,27.0131,1844.68,3.72254e-05
1908,725.188,27.0136,1842.65,3.72357e-05
1914,724.941,27.0141,1840.61,3.72459e-05
1920,724.694,27.0146,1838.57,3.72562e-05
1926,724.446,27.0151,1836.51,3.72666e-05
1932,724.197,27.0157,1834.45,3.7277e-05
1938,723.947,27.0162,1832.38,3.72874e-05
1944,723.697,27.0167,1830.31,3.72978e-05
1950,723.446,27.0173,1828.22,3.73083e-05
1956,723.194,27.0178,1826.13,3.73189e-05
1962,722.954,27.0183,1824.02,3.73295e-05
1968,722.717,27.0189,1821.91,3.73396e-05
1974,722.48,27.0195,1819.79,3.73495e-05
1980,722.242,27.02,1817.66,3.73595e-05
1986,722.003,27.0206,1815.53,3.73696e-05
1992,721.763,27.0211,1813.38,3.73796e-05
1998,721.523,27.0217,1811.23,3.73897e-05
2004,721.281,27.0223,1809.07,3.73999e-05
2010,721.039,27.0229,1806.9,3.74101e-05
2016,720.797,27.0235,1804.72,3.74203e-05
2022,720.553,27.0241,1802.53,3.74306e-05
2028,720.309,27.0246,1800.34,3.74409e-05
2034,720.064,27.0253,1798.13,3.74512e-05
2040,719.818,27.0259,1795.92,3.74616e-05
2046,719.571,27.0265,1793.7,3.7472e-05
2052,719.324,27.0271,1791.47,3.74825e-05
2058,719.076,27.0277,1789.23,3.7493e-05
2064,718.827,27.0283,1786.98,3.75036e-05
2070,718.577,27.029,1784.72,3.75142e-05
2076,718.326,27.0296,1782.46,3.75248e-05
2082,718.075,27.0302,1780.19,3.75355e-05
2088,717.823,27.0309,1777.91,3.75462e-05
2094,717.57,27.0316,1775.61,3.75569e-05
2100,717.316,27.0322,1773.32,3.75677e-05
2106,717.061,27.0329,1771.01,3.75786e-05
2112,716.806,27.0335,1768.69,3.75895e-05
2118,716.55,27.0342,1766.37,3.76004e-05
2124,716.292,27.0349,1764.03,3.76114e-05
2130,716.034,27.0356,1761.69,3.76224e-05
2136,715.776,27.0363,1759.34,3.76335e-05
2142,715.516,27.037,1756.98,3.76446e-05
2148,715.255,27.0377,1754.61,3.76557e-05
2154,714.994,27.0384,1752.23,3.76669e-05
2160,714.732,27.0391,1749.85,3.76781e-05
2166,714.469,27.0399,1747.45,3.76894e-05
2172,714.205,27.0406,1745.05,3.77008e-05
2178,713.94,27.0413,1742.64,3.77121e-05
2184,713.675,27.0421,1740.21,3.77236e-05
2190,713.408,27.0428,1737.78,3.7735e-05
2196,713.141,27.0436,1735.35,3.77465e-05
2202,712.873,27.0443,1732.9,3.77581e-05
2208,712.604,27.0451,1730.44,3.77697e-05
2214,712.334,27.0459,1727.98,3.77813e-05
2220,712.063,27.0467,1725.51,3.7793e-05
2226,711.791,27.0475,1723.02,3.78048e-05
2232,711.519,27.0483,1720.53,3.78166e-05
2238,711.245,27.0491,1718.03,3.78284e-05
2244,710.971,27.0499,1715.53,3.78403e-05
2250,710.696,27.0507,1713.01,3.78522e-05
2256,710.419,27.0515,1710.48,3.78642e-05
2262,710.142,27.0523,1707.95,3.78763e-05
2268,709.864,27.0532,1705.41,3.78883e-05
2274,709.586,27.054,1702.86,3.79005e-05
2280,709.306,27.0549,1700.3,3.79127e-05
2286,709.025,27.0558,1697.73,3.79249e-05
2292,708.744,27.0566,1695.15,3.79372e-05
2298,708.461,27.0575,1692.57,3.79495e-05
2304,708.178,27.0584,1689.97,3.79619e-05
2310,707.894,27.0593,1687.37,3.79743e-05
2316,707.609,27.0602,1684.76,3.79868e-05
2322,707.323,27.0611,1682.14,3.79993e-05
2328,707.036,27.062,1679.51,3.80119e-05
2334,706.748,27.063,1676.87,3.80245e-05
2340,706.459,27.0639,1674.23,3.80372e-05
2346,706.169,27.0648,1671.58,3.80499e-05
2352,705.879,27.0658,1668.91,3.80627e-05
2358,705.587,27.0667,1666.24,3.80755e-05
2364,705.295,27.0677,1663.57,3.80884e-05
